Date,Open,High,Low,Close,Adj Close,Volume
2022-12-21,20.0,21.0,19.6,20.0,19.852398,9282229
2022-12-22,19.799999,21.25,19.799999,20.6,20.447971,12457100
2022-12-23,20.35,20.549999,20.0,20.549999,20.398338,4142267
2022-12-26,21.0,21.0,19.5,19.5,19.356089,5650600
2022-12-27,19.4,19.9,19.15,19.450001,19.306458,4766587
2022-12-28,19.6,19.6,18.85,18.9,18.760517,3733071
2022-12-29,18.799999,18.85,17.25,17.5,17.37085,9325600
2022-12-30,18.049999,18.200001,17.25,17.25,17.122694,4694103
2023-01-03,17.35,17.65,17.0,17.6,17.470112,2165029
2023-01-04,17.65,18.049999,17.549999,17.75,17.619003,2214025
2023-01-05,17.75,18.700001,17.75,18.299999,18.164944,5374125
2023-01-06,18.049999,18.35,17.799999,18.15,18.016052,2603025
2023-01-09,18.299999,18.450001,17.950001,18.15,18.016052,2201050
2023-01-10,18.75,18.75,17.5,17.5,17.37085,2898438
2023-01-11,17.5,18.0,17.5,17.700001,17.569374,2480025
2023-01-12,17.950001,18.0,17.6,17.799999,17.668634,1102096
2023-01-13,18.0,18.450001,17.799999,18.15,18.016052,4056040
2023-01-16,18.35,18.950001,18.1,18.799999,18.661255,5679245
2023-01-17,19.0,19.049999,18.4,18.450001,18.313839,5853030
2023-01-30,18.75,18.9,18.4,18.799999,18.661255,4218030
2023-01-31,19.200001,19.700001,19.0,19.549999,19.40572,8581030
2023-02-01,19.6,19.9,19.35,19.65,19.504982,5149000
2023-02-02,19.85,20.299999,19.549999,19.65,19.504982,4849539
2023-02-03,19.700001,21.25,19.6,20.549999,20.398338,12827500
2023-02-06,20.799999,21.25,19.75,19.799999,19.653873,12927800
2023-02-07,19.799999,20.200001,19.799999,19.799999,19.653873,4144316
2023-02-08,20.0,20.549999,19.799999,19.85,19.703506,3803201
2023-02-09,19.85,20.450001,19.35,20.299999,20.150185,6017271
2023-02-10,19.799999,20.15,19.0,19.049999,18.909409,6072294
2023-02-13,18.950001,19.700001,18.700001,18.75,18.611624,32866823
2023-02-14,18.799999,19.450001,18.549999,19.4,19.256826,6547005
2023-02-15,19.4,20.049999,19.299999,19.5,19.356089,7301181
2023-02-16,19.5,20.15,19.5,20.15,20.001291,5508233
2023-02-17,20.1,20.6,19.9,20.299999,20.150185,6137999
2023-02-20,20.75,21.15,20.25,20.549999,20.398338,8859025
2023-02-21,20.700001,21.15,20.6,20.85,20.696125,5238020
2023-02-22,20.65,20.700001,20.0,20.15,20.001291,4099030
2023-02-23,20.25,20.450001,20.200001,20.35,20.199816,1994025
2023-02-24,20.4,21.700001,20.1,20.75,20.596863,11349499
2023-03-01,20.799999,21.15,20.25,20.75,20.596863,5360100
2023-03-02,20.700001,21.0,20.450001,20.5,20.348709,2660001
2023-03-03,20.799999,22.549999,20.700001,22.549999,22.383579,18896487
2023-03-06,23.75,24.799999,22.75,24.799999,24.616974,24937409
2023-03-07,25.0,25.299999,24.049999,24.799999,24.616974,39411360
2023-03-08,24.75,24.75,22.75,23.1,22.929522,37466099
2023-03-09,23.25,23.25,21.950001,22.049999,21.887268,13788090
2023-03-10,22.299999,22.85,21.85,22.049999,21.887268,15029020
2023-03-13,21.9,22.0,21.200001,21.85,21.688745,7400136
2023-03-14,21.700001,22.15,21.299999,21.299999,21.142803,5201500
2023-03-15,21.700001,22.0,21.549999,21.6,21.440592,3682160
2023-03-16,21.549999,21.6,20.700001,20.85,20.696125,5638139
2023-03-17,21.35,21.450001,21.049999,21.200001,21.043543,3025415
2023-03-20,21.450001,21.75,21.200001,21.5,21.341328,3313165
2023-03-21,21.75,23.65,21.549999,23.65,23.47546,19855344
2023-03-22,23.85,24.049999,22.85,22.950001,22.780628,29398250
2023-03-23,22.6,22.6,21.700001,21.700001,21.539854,11693050
2023-03-24,22.1,23.25,21.9,22.299999,22.135424,26638226
2023-03-27,22.15,23.15,22.1,22.5,22.333948,10352020
2023-03-28,22.5,22.799999,22.200001,22.450001,22.284319,6200210
2023-03-29,22.65,22.85,22.200001,22.299999,22.135424,4660025
2023-03-30,22.549999,22.85,22.25,22.299999,22.135424,4108000
2023-03-31,22.35,22.549999,21.85,22.25,22.085793,6079225
2023-04-06,22.450001,22.450001,21.85,22.299999,22.135424,4733300
2023-04-07,22.549999,22.6,22.049999,22.049999,21.887268,3050322
2023-04-10,22.1,22.450001,22.0,22.15,21.98653,2258370
2023-04-11,22.549999,22.549999,21.950001,21.950001,21.788008,3643005
2023-04-12,22.0,23.65,21.65,23.35,23.177675,20772140
2023-04-13,23.35,23.450001,22.5,22.549999,22.383579,11602075
2023-04-14,22.65,23.950001,22.4,23.299999,23.128044,15436060
2023-04-17,23.950001,24.549999,23.75,24.0,23.822878,20403203
2023-04-18,24.049999,25.15,23.6,23.700001,23.525093,21512188
2023-04-19,23.9,23.9,23.15,23.200001,23.028784,7572461
2023-04-20,23.35,23.450001,22.700001,22.700001,22.532473,4775200
2023-04-21,23.0,23.1,22.049999,22.049999,21.887268,5362289
2023-04-24,22.1,23.700001,22.049999,23.35,23.177675,7945420
2023-04-25,23.299999,23.85,22.15,22.4,22.234686,8415168
2023-04-26,22.35,22.9,22.1,22.5,22.333948,3599200
2023-04-27,22.5,22.549999,22.049999,22.15,21.98653,2844000
2023-04-28,22.4,22.700001,22.35,22.450001,22.284319,2698379
2023-05-02,22.700001,23.799999,22.6,23.799999,23.624353,7088670
2023-05-03,23.5,23.950001,23.1,23.450001,23.276937,5427003
2023-05-04,23.6,24.299999,23.200001,23.450001,23.276937,8904300
2023-05-05,23.200001,23.75,23.15,23.200001,23.028784,2737200
2023-05-08,23.65,24.4,23.450001,24.15,23.971771,11045354
2023-05-09,24.25,24.4,23.200001,23.5,23.326569,7939012
2023-05-10,23.1,23.200001,21.15,21.200001,21.043543,18512766
2023-05-11,20.950001,21.1,19.9,20.1,19.95166,8204300
2023-05-12,20.200001,20.700001,20.0,20.5,20.348709,3507300
2023-05-15,20.200001,20.6,20.1,20.200001,20.050924,1704400
2023-05-16,20.450001,20.799999,20.4,20.5,20.348709,1347197
2023-05-17,20.5,20.950001,20.5,20.700001,20.547234,1865601
2023-05-18,21.1,21.25,21.0,21.049999,20.89465,2008211
2023-05-19,21.25,21.35,20.549999,20.6,20.447971,2184074
2023-05-22,20.65,21.450001,20.6,21.1,20.944281,1737300
