Date,Open,High,Low,Close,Adj Close,Volume
2023-01-13,114.5,115.0,113.0,114.0,114.0,4461516
2023-01-16,114.5,115.0,113.0,113.5,113.5,4592065
2023-01-17,114.0,114.5,113.0,114.0,114.0,4705997
2023-01-30,116.0,120.5,116.0,119.5,119.5,13151318
2023-01-31,118.5,122.0,114.5,115.5,115.5,12200129
2023-02-01,117.0,118.0,116.0,117.0,117.0,8267934
2023-02-02,118.0,118.5,116.5,118.0,118.0,7533174
2023-02-03,117.5,117.5,114.5,114.5,114.5,9083932
2023-02-06,113.5,116.5,113.5,116.0,116.0,7547924
2023-02-07,115.0,120.0,115.0,119.5,119.5,10227856
2023-02-08,120.5,122.5,119.0,120.0,120.0,10630561
2023-02-09,119.0,121.0,117.0,117.0,117.0,6478293
2023-02-10,117.5,118.0,116.0,117.0,117.0,4842649
2023-02-13,117.0,118.5,116.0,117.5,117.5,3337775
2023-02-14,118.0,119.5,117.0,119.0,119.0,3961310
2023-02-15,119.0,120.5,118.0,119.0,119.0,4699376
2023-02-16,120.0,122.0,119.5,121.0,121.0,4995161
2023-02-17,119.0,120.0,117.5,117.5,117.5,4773894
2023-02-20,118.0,118.5,116.5,116.5,116.5,3899387
2023-02-21,117.0,117.5,115.0,116.5,116.5,4505322
2023-02-22,115.5,117.5,114.5,117.5,117.5,3760712
2023-02-23,121.0,121.5,119.5,120.5,120.5,11384953
2023-02-24,122.5,124.0,118.5,119.0,119.0,7816153
2023-03-01,119.5,120.5,117.5,120.5,120.5,4122685
2023-03-02,119.5,120.0,117.5,120.0,120.0,3197677
2023-03-03,120.0,121.0,118.5,119.0,119.0,2023202
2023-03-06,119.5,120.0,118.0,118.5,118.5,5274655
2023-03-07,118.5,120.5,118.0,119.5,119.5,3803812
2023-03-08,119.0,119.0,116.0,117.0,117.0,6452138
2023-03-09,119.0,121.0,118.0,119.0,119.0,7238085
2023-03-10,118.5,120.5,118.0,120.0,120.0,6624365
2023-03-13,119.0,119.5,116.5,118.5,118.5,4685882
2023-03-14,118.5,118.5,116.0,117.5,117.5,4647718
2023-03-15,119.0,121.5,118.0,119.0,119.0,8284284
2023-03-16,119.5,121.5,119.0,119.5,119.5,6051643
2023-03-17,121.0,122.0,116.5,118.5,118.5,8389732
2023-03-20,118.5,120.5,118.0,120.0,120.0,4799990
2023-03-21,120.0,120.5,119.0,120.0,120.0,2294424
2023-03-22,120.5,124.0,120.0,123.5,123.5,10242546
2023-03-23,123.0,126.0,122.0,126.0,126.0,7261911
2023-03-24,127.0,130.0,125.5,129.0,129.0,8994676
2023-03-27,129.5,129.5,127.0,128.0,128.0,3807518
2023-03-28,128.0,128.5,125.5,128.0,128.0,4568282
2023-03-29,128.0,130.0,128.0,130.0,130.0,4302590
2023-03-30,134.0,134.5,131.5,133.0,133.0,8896198
2023-03-31,133.5,134.0,132.0,133.5,133.5,6844949
2023-04-06,133.5,138.0,132.5,138.0,138.0,10813258
2023-04-07,138.0,138.5,134.0,134.0,134.0,5779529
2023-04-10,134.0,137.0,133.0,136.5,136.5,3891329
2023-04-11,137.0,137.5,134.5,135.5,135.5,4597622
2023-04-12,136.0,137.0,134.5,136.5,136.5,4499705
2023-04-13,135.5,136.0,131.5,132.0,132.0,6624847
2023-04-14,133.5,135.5,132.5,134.5,134.5,6017393
2023-04-17,135.0,136.5,134.5,135.0,135.0,3489082
2023-04-18,136.0,137.0,134.5,135.5,135.5,5388503
2023-04-19,134.0,136.0,132.0,134.5,134.5,5870257
2023-04-20,134.5,135.0,132.5,134.0,134.0,2902626
2023-04-21,133.5,135.0,131.0,132.0,132.0,3497463
2023-04-24,132.0,135.0,131.5,135.0,135.0,1934779
2023-04-25,135.0,135.0,128.5,129.0,129.0,4133236
2023-04-26,129.0,130.0,127.5,129.0,129.0,2080563
2023-04-27,129.0,132.5,128.5,131.5,131.5,2962841
2023-04-28,132.5,133.0,130.5,131.0,131.0,2252999
2023-05-02,133.0,136.0,132.0,135.0,135.0,7262398
2023-05-03,134.0,136.0,131.0,132.5,132.5,6235235
2023-05-04,132.5,137.0,131.0,136.0,136.0,8831866
2023-05-05,136.5,138.0,135.5,137.0,137.0,6571231
2023-05-08,137.5,138.0,135.0,135.0,135.0,3277403
2023-05-09,137.5,140.0,136.5,139.0,139.0,9979853
2023-05-10,137.0,140.5,134.5,139.5,139.5,11483240
2023-05-11,139.5,142.0,138.5,141.0,141.0,9762714
2023-05-12,138.0,141.0,137.0,139.0,139.0,8983731
2023-05-15,138.0,139.5,135.5,135.5,135.5,7965846
2023-05-16,139.0,146.0,139.0,144.5,144.5,25788480
2023-05-17,145.0,150.5,145.0,149.5,149.5,29083202
2023-05-18,152.5,159.5,151.5,159.5,159.5,28498580
2023-05-19,163.0,164.0,157.5,164.0,164.0,19357162
2023-05-22,163.5,164.5,159.0,161.5,161.5,11826166
2023-05-23,160.5,163.0,159.0,160.0,160.0,11682448
2023-05-24,161.5,167.5,160.5,165.0,165.0,22247736
2023-05-25,181.0,181.5,176.0,180.0,180.0,33551024
2023-05-26,184.0,197.5,180.0,185.0,185.0,61131933
2023-05-29,188.0,191.5,178.5,186.0,186.0,34827012
2023-05-30,187.0,188.0,180.5,184.5,184.5,18102616
2023-05-31,185.5,188.0,183.0,186.5,186.5,15205907
2023-06-01,184.5,191.0,182.5,190.5,190.5,20607633
2023-06-02,195.0,209.5,192.0,203.0,203.0,44459713
2023-06-05,201.0,213.0,197.5,211.5,211.5,25597703
2023-06-06,211.5,213.5,206.0,209.0,209.0,18207955
2023-06-07,209.0,225.5,207.0,224.5,224.5,26938710
2023-06-08,220.0,223.0,217.0,219.0,219.0,18168513
2023-06-09,223.0,240.5,223.0,240.5,240.5,33786579
2023-06-12,242.0,259.0,240.5,243.0,243.0,48020557
2023-06-13,249.5,252.0,237.5,245.0,245.0,32350213
2023-06-14,241.0,247.5,239.5,242.5,242.5,20760728
2023-06-15,246.0,252.0,241.5,246.0,246.0,28367592
2023-06-16,245.0,261.5,244.0,254.5,254.5,30918564
2023-06-19,253.0,255.0,248.0,252.5,252.5,13333673
2023-06-20,249.5,259.0,248.5,256.0,256.0,20260312
2023-06-21,256.5,261.0,254.0,260.0,260.0,16398159
2023-06-26,255.5,256.5,240.5,243.5,243.5,23189093
2023-06-27,240.0,242.5,230.0,233.0,233.0,24056868
2023-06-28,238.0,239.0,227.0,227.0,227.0,18974683
2023-06-29,233.0,237.0,226.0,233.0,233.0,18953211
2023-06-30,232.5,243.5,229.0,243.5,243.5,21473260
2023-07-03,248.0,256.5,245.0,248.0,248.0,25539548
2023-07-04,250.0,272.5,248.0,272.5,272.5,32174124
2023-07-05,270.0,272.0,254.0,265.0,265.0,26943574
2023-07-06,257.5,271.5,256.5,264.0,264.0,22947857
2023-07-07,262.5,269.0,253.0,261.0,261.0,19119592
2023-07-10,263.0,280.5,261.0,273.5,273.5,28217499
2023-07-11,277.0,282.5,273.5,276.5,276.5,27182476
2023-07-12,281.0,304.0,280.5,304.0,304.0,39426658
2023-07-13,312.0,333.0,290.5,295.5,295.5,53334586
2023-07-14,305.0,309.5,281.5,296.0,296.0,43447627
2023-07-17,290.5,306.5,290.0,293.5,293.5,22451809
2023-07-18,300.0,319.0,286.5,312.5,312.5,43760051
2023-07-19,317.0,321.0,297.5,298.5,298.5,30109270
2023-07-20,300.0,308.0,297.0,305.0,305.0,15839418
2023-07-21,291.5,332.0,291.0,322.5,322.5,46760530
2023-07-24,325.0,354.5,321.0,354.5,354.5,47433035
2023-07-25,360.0,382.5,348.0,352.5,352.5,52178825
2023-07-26,340.0,348.0,330.5,333.0,333.0,39798661
2023-07-27,341.0,347.5,327.0,332.0,332.0,25619840
2023-07-28,338.0,348.5,329.0,347.5,347.5,27452622
2023-07-31,359.0,361.0,313.0,314.0,314.0,26859308
2023-08-01,314.0,326.5,301.0,319.0,319.0,21693736
2023-08-02,320.0,327.0,291.5,297.0,297.0,24865656
2023-08-04,291.0,318.0,288.0,306.0,306.0,28850692
2023-08-07,316.0,336.5,312.5,336.5,336.5,24679607
2023-08-08,342.5,352.0,330.0,333.5,333.5,40705265
2023-08-09,323.5,348.5,322.5,328.5,328.5,42510967
2023-08-10,306.0,314.5,296.0,296.0,296.0,42723981
2023-08-11,300.0,308.0,296.0,300.5,300.5,33719541
2023-08-14,287.5,301.5,284.0,296.0,296.0,31690216
2023-08-15,310.0,322.0,308.0,316.0,316.0,31183290
2023-08-16,311.0,334.5,309.0,334.5,334.5,26932592
2023-08-17,328.0,339.0,325.0,331.0,331.0,31849346
2023-08-18,329.0,333.0,304.0,312.0,312.0,27377550
2023-08-21,318.0,320.0,306.5,310.5,310.5,13784725
2023-08-22,323.5,341.5,323.5,335.5,335.5,51578019
2023-08-23,334.5,337.0,327.5,334.5,334.5,26524870
2023-08-24,356.0,367.5,339.0,354.0,354.0,69724794
2023-08-25,335.0,353.5,335.0,342.5,342.5,36708623
2023-08-28,347.5,351.0,327.0,345.0,345.0,37111637
2023-08-29,349.5,357.5,346.0,354.0,354.0,36932186
2023-08-30,362.5,372.5,354.0,354.0,354.0,43785144
2023-08-31,345.5,351.5,338.0,341.0,341.0,71567897
2023-09-01,341.0,346.5,322.0,323.0,323.0,33142528
2023-09-04,323.5,329.0,314.0,316.0,316.0,24762679
2023-09-05,316.0,321.5,304.0,311.0,311.0,27784153
2023-09-06,314.5,316.5,305.0,306.5,306.5,22978005
2023-09-07,303.0,314.5,299.0,314.5,314.5,28474008
2023-09-08,310.0,321.0,307.5,307.5,307.5,34299878
2023-09-11,313.0,313.0,277.0,279.5,279.5,48221933
2023-09-12,278.5,283.0,269.0,270.5,270.5,37601243
2023-09-13,272.0,273.0,264.0,267.5,267.5,24728613
2023-09-14,276.0,283.0,273.0,278.0,278.0,28925664
2023-09-15,279.5,279.5,270.5,271.5,271.5,23069779
2023-09-18,265.5,267.5,253.5,260.0,260.0,32710908
2023-09-19,261.0,264.0,252.0,253.5,253.5,22885503
2023-09-20,252.0,273.5,252.0,263.5,263.5,38927876
2023-09-21,260.0,272.0,254.5,268.5,268.5,40085778
2023-09-22,267.0,279.0,262.5,279.0,279.0,37453419
2023-09-25,279.0,279.5,271.5,274.5,274.5,30703190
2023-09-26,277.5,283.5,275.5,275.5,275.5,26802809
2023-09-27,277.5,284.5,274.5,284.5,284.5,26311828
2023-09-28,289.5,292.0,279.5,281.5,281.5,34652761
2023-10-02,289.0,300.0,287.5,290.0,290.0,34698290
2023-10-03,295.0,295.0,287.0,290.0,290.0,17136126
2023-10-04,281.5,289.5,280.5,287.5,287.5,15401737
2023-10-05,291.5,292.0,285.0,288.0,288.0,15873714
2023-10-06,291.5,295.0,286.0,289.5,289.5,17364156
2023-10-11,302.0,303.5,274.0,274.0,274.0,45125698
2023-10-12,282.0,289.0,279.0,284.5,284.5,30182663
2023-10-13,282.5,282.5,265.0,271.0,271.0,32725746
2023-10-16,268.0,273.5,264.0,265.5,265.5,20019859
2023-10-17,271.5,272.0,261.5,261.5,261.5,23155643
2023-10-18,259.0,261.5,243.5,246.0,246.0,41842607
2023-10-19,245.0,247.5,241.0,243.0,243.0,20980830
2023-10-20,240.5,245.0,234.0,241.5,241.5,25211991
2023-10-23,239.0,247.5,238.5,239.0,239.0,16474882
2023-10-24,243.0,247.0,238.0,247.0,247.0,18751943
2023-10-25,246.0,249.0,243.5,245.5,245.5,17076405
2023-10-26,236.5,236.5,230.5,232.0,232.0,23613431
2023-10-27,237.5,239.5,232.5,235.5,235.5,15143473
2023-10-30,237.5,239.0,231.5,232.5,232.5,11068156
2023-10-31,235.0,235.0,216.0,217.5,217.5,26640932
2023-11-01,220.5,222.5,215.5,221.0,221.0,15772553
2023-11-02,234.0,236.5,224.0,226.5,226.5,27618151
2023-11-03,228.5,231.0,219.5,220.5,220.5,24781779
2023-11-06,213.5,223.5,213.0,220.0,220.0,33322331
2023-11-07,220.5,221.5,215.0,220.5,220.5,22402863
2023-11-08,222.0,230.0,221.0,224.5,224.5,27724603
2023-11-09,227.0,234.5,226.5,231.0,231.0,39890705
2023-11-10,230.5,230.5,222.5,230.5,230.5,23581942
2023-11-13,233.0,234.0,224.5,225.5,225.5,21520060
2023-11-14,228.5,230.5,224.5,229.5,229.5,16575340
