Date,Open,High,Low,Close,Adj Close,Volume
2023-01-13,13.9,14.3,13.55,13.55,13.55,4096089
2023-01-16,13.9,14.15,13.7,13.75,13.75,3388148
2023-01-17,13.85,14.0,13.7,13.8,13.8,979130
2023-01-30,14.2,14.45,13.95,14.3,14.3,5108191
2023-01-31,14.15,14.35,14.1,14.35,14.35,1309909
2023-02-01,14.4,14.5,14.2,14.4,14.4,1521242
2023-02-02,14.65,14.85,14.5,14.55,14.55,2753058
2023-02-03,14.65,14.75,14.55,14.7,14.7,1564087
2023-02-06,14.6,14.75,14.45,14.5,14.5,780377
2023-02-07,14.5,14.7,14.45,14.6,14.6,836010
2023-02-08,14.75,14.8,14.6,14.65,14.65,1172014
2023-02-09,14.75,14.8,14.65,14.65,14.65,1039103
2023-02-10,14.65,14.65,14.1,14.1,14.1,1241019
2023-02-13,14.6,14.9,14.3,14.4,14.4,6463006
2023-02-14,14.4,14.55,14.3,14.5,14.5,1092017
2023-02-15,14.6,14.65,14.4,14.5,14.5,846028
2023-02-16,14.9,15.4,14.85,14.9,14.9,5982010
2023-02-17,14.75,15.1,14.7,15.05,15.05,2267025
2023-02-20,15.15,15.2,14.95,15.05,15.05,1261062
2023-02-21,15.15,15.2,14.9,14.9,14.9,1553100
2023-02-22,14.8,14.9,14.6,14.8,14.8,1185730
2023-02-23,15.0,16.25,15.0,16.25,16.25,16380401
2023-02-24,16.35,16.75,15.55,15.75,15.75,13418617
2023-03-01,15.65,15.65,15.2,15.35,15.35,2291142
2023-03-02,15.55,15.6,15.3,15.4,15.4,1405375
2023-03-03,15.55,15.7,15.4,15.6,15.6,1943025
2023-03-06,15.8,15.85,15.65,15.7,15.7,1220333
2023-03-07,15.75,15.95,15.6,15.75,15.75,2619026
2023-03-08,15.65,15.95,15.6,15.95,15.95,1839135
2023-03-09,15.9,16.1,15.7,15.75,15.75,1539171
2023-03-10,15.75,15.75,15.5,15.6,15.6,1794405
2023-03-13,15.55,15.95,15.25,15.8,15.8,2699007
2023-03-14,16.1,16.4,15.65,15.65,15.65,6243163
2023-03-15,15.8,16.549999,15.8,16.200001,16.200001,9620763
2023-03-16,16.049999,16.15,15.7,16.0,16.0,3057730
2023-03-17,16.15,16.700001,16.15,16.549999,16.549999,9987200
2023-03-20,16.799999,16.950001,16.4,16.4,16.4,4674027
2023-03-21,16.6,17.5,16.450001,17.200001,17.200001,10277583
2023-03-22,17.200001,17.450001,17.049999,17.1,17.1,4177975
2023-03-23,17.1,17.450001,16.85,17.049999,17.049999,3313113
2023-03-24,17.1,17.25,17.0,17.200001,17.200001,2255146
2023-03-27,17.049999,17.15,16.65,16.700001,16.700001,2678300
