Date,Open,High,Low,Close,Adj Close,Volume
2023-01-13,10.15,10.15,9.97,9.97,9.801017,153474
2023-01-16,10.0,10.1,9.93,9.93,9.761695,181162
2023-01-17,10.0,10.9,10.0,10.45,10.272881,3831095
2023-01-30,10.55,10.75,10.45,10.45,10.272881,757549
2023-01-31,10.45,10.5,10.3,10.35,10.174577,364900
2023-02-01,10.45,10.45,10.35,10.35,10.174577,155575
2023-02-02,10.4,10.5,10.35,10.4,10.223728,359350
2023-02-03,10.4,10.4,10.3,10.35,10.174577,306086
2023-02-06,10.35,10.4,10.3,10.35,10.174577,193166
2023-02-07,10.4,10.4,10.2,10.25,10.076271,384115
2023-02-08,10.3,10.4,10.25,10.25,10.076271,242388
2023-02-09,10.25,10.3,10.2,10.2,10.027119,225016
2023-02-10,10.3,10.3,10.0,10.0,9.830508,361085
2023-02-13,10.1,10.15,9.99,10.1,9.928814,266437
2023-02-14,10.1,10.2,10.1,10.15,9.977965,157049
2023-02-15,10.1,10.15,10.05,10.1,9.928814,141115
2023-02-16,10.1,10.6,10.1,10.3,10.125423,673455
2023-02-17,10.25,10.5,10.25,10.4,10.223728,360665
2023-02-20,10.35,10.45,10.3,10.45,10.272881,345876
2023-02-21,10.5,10.5,10.35,10.4,10.223728,175614
2023-02-22,10.35,10.5,10.3,10.45,10.272881,200682
2023-02-23,10.4,10.55,10.4,10.5,10.322034,296104
2023-02-24,10.55,10.6,10.4,10.4,10.223728,213201
2023-03-01,10.4,10.65,10.35,10.5,10.322034,416839
2023-03-02,10.6,10.65,10.5,10.6,10.420339,255092
2023-03-03,10.65,10.7,10.55,10.6,10.420339,355262
2023-03-06,10.6,10.7,10.55,10.6,10.420339,254793
2023-03-07,10.6,10.75,10.55,10.65,10.469491,284335
2023-03-08,10.55,10.8,10.55,10.7,10.518643,374020
2023-03-09,10.7,10.75,10.5,10.5,10.322034,447815
2023-03-10,10.5,10.5,10.25,10.3,10.125423,506921
2023-03-13,10.3,10.35,10.2,10.3,10.125423,220536
2023-03-14,10.3,10.4,10.25,10.25,10.076271,160175
2023-03-15,10.35,10.35,10.25,10.25,10.076271,192700
2023-03-16,10.25,10.25,10.05,10.1,9.928814,183538
2023-03-17,10.15,10.25,10.15,10.25,10.076271,113146
2023-03-20,10.25,10.35,10.15,10.25,10.076271,100142
2023-03-21,10.3,10.35,10.25,10.3,10.125423,168308
2023-03-22,10.35,10.5,10.35,10.4,10.223728,185595
2023-03-23,10.35,10.55,10.35,10.55,10.371186,207477
2023-03-24,10.55,10.65,10.5,10.6,10.420339,311301
2023-03-27,10.7,10.8,10.55,10.7,10.518643,683343
2023-03-28,10.7,10.7,10.45,10.6,10.420339,403718
2023-03-29,10.6,10.6,10.45,10.6,10.420339,189072
2023-03-30,10.6,10.7,10.5,10.7,10.518643,364087
2023-03-31,10.7,10.7,10.6,10.7,10.518643,131955
2023-04-06,10.7,10.7,10.55,10.55,10.371186,158238
2023-04-07,10.6,10.65,10.5,10.5,10.322034,125149
2023-04-10,10.5,10.55,10.4,10.55,10.371186,128329
2023-04-11,10.55,10.6,10.45,10.6,10.420339,238204
2023-04-12,10.6,10.75,10.55,10.7,10.518643,413786
2023-04-13,10.65,10.75,10.6,10.65,10.469491,257841
2023-04-14,10.75,10.75,10.6,10.65,10.469491,505986
2023-04-17,10.65,11.0,10.65,10.9,10.715254,1064225
2023-04-18,11.0,11.0,10.85,10.85,10.666101,570300
2023-04-19,10.9,10.9,10.7,10.8,10.616949,432249
2023-04-20,10.75,10.75,10.65,10.75,10.567797,311141
2023-04-21,10.7,10.75,10.45,10.5,10.322034,546036
2023-04-24,10.6,10.65,10.5,10.5,10.322034,158218
2023-04-25,10.55,10.65,10.4,10.5,10.322034,283525
2023-04-26,10.5,10.6,10.4,10.5,10.322034,387414
2023-04-27,10.5,10.55,10.4,10.5,10.322034,292193
2023-04-28,10.5,10.65,10.5,10.55,10.371186,181521
2023-05-02,10.6,10.85,10.6,10.65,10.469491,375885
2023-05-03,10.65,10.7,10.65,10.65,10.469491,142360
2023-05-04,10.65,10.65,10.55,10.6,10.420339,148440
2023-05-05,10.6,10.7,10.6,10.6,10.420339,207646
2023-05-08,10.6,10.65,10.55,10.6,10.420339,162646
2023-05-09,10.55,10.6,10.4,10.45,10.272881,347106
2023-05-10,10.5,10.55,10.4,10.55,10.371186,360627
2023-05-11,10.55,10.55,10.3,10.35,10.174577,391238
2023-05-12,10.45,10.45,10.35,10.45,10.272881,233521
2023-05-15,10.35,10.45,10.35,10.45,10.272881,103503
2023-05-16,10.5,10.6,10.45,10.5,10.322034,245354
2023-05-17,10.55,10.6,10.55,10.55,10.371186,141787
2023-05-18,10.6,10.7,10.55,10.6,10.420339,348919
2023-05-19,10.55,10.85,10.55,10.75,10.567797,1093029
2023-05-22,10.75,10.85,10.6,10.75,10.567797,525427
2023-05-23,10.8,10.9,10.75,10.85,10.666101,544061
2023-05-24,10.85,10.95,10.8,10.9,10.715254,847837
2023-05-25,10.9,11.05,10.8,10.8,10.616949,1109172
2023-05-26,10.85,10.95,10.8,10.95,10.764406,839053
2023-05-29,11.05,11.2,10.95,11.05,10.862712,1578553
2023-05-30,11.1,11.55,11.0,11.35,11.157627,4582972
2023-05-31,11.35,11.5,11.2,11.3,11.108475,1630517
